song,songLabel,release_date,performerLabel,nominatedLabel,awardLabel
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,Latin Grammy Award for Song of the Year
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,Latin Grammy Award for Best Urban Fusion/Performance
http://www.wikidata.org/entity/Q28735791,Occidentali's Karma,2017-02-10T00:00:00Z,Francesco Gabbani,,Sanremo Music Festival award
http://www.wikidata.org/entity/Q28842326,Stay,2017-02-23T00:00:00Z,Zedd,,MTV Video Music Award
http://www.wikidata.org/entity/Q28842326,Stay,2017-02-23T00:00:00Z,Alessia Cara,,MTV Video Music Award
http://www.wikidata.org/entity/Q60064262,Rahan takii,2017-02-27T00:00:00Z,Antti Tuisku,,gold record
http://www.wikidata.org/entity/Q42495628,Q42495628,2017-05-27T00:00:00Z,Hanan Ben Ari,,ACUM award
http://www.wikidata.org/entity/Q30610241,Run,2017-06-02T00:00:00Z,Foo Fighters,Grammy Award for Best Rock Performance,
http://www.wikidata.org/entity/Q30610241,Run,2017-06-02T00:00:00Z,Foo Fighters,,Grammy Award for Best Rock Song
http://www.wikidata.org/entity/Q60193465,Sayonara,2017-06-26T00:00:00Z,Gazzelle,,gold record
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,Russian National Music Award for Dance Hit of the Year,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,Russian National Music Award for Dance Hit of the Year,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,Premiya RU.TV for Best Song,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,Premiya RU.TV for Best Song,
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Feduk,,Premiya RU.TV for Best Debut
http://www.wikidata.org/entity/Q57744615,Rozovoye vino,2017-08-04T00:00:00Z,Eldzhey,,Premiya RU.TV for Best Debut
