song,songLabel,release_date,performerLabel,nominated,nominatedLabel,nomination_year,award,awardLabel,award_year
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,,,http://www.wikidata.org/entity/Q6496387,Latin Grammy Award for Best Short Form Music Video,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,,,http://www.wikidata.org/entity/Q6496387,Latin Grammy Award for Best Short Form Music Video,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,,,http://www.wikidata.org/entity/Q6496408,Latin Grammy Award for Song of the Year,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,,,http://www.wikidata.org/entity/Q6496408,Latin Grammy Award for Song of the Year,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Daddy Yankee,,,,http://www.wikidata.org/entity/Q17135175,Latin Grammy Award for Best Urban Fusion/Performance,2017
http://www.wikidata.org/entity/Q28572509,Despacito,2017-01-12T00:00:00Z,Luis Fonsi,,,,http://www.wikidata.org/entity/Q17135175,Latin Grammy Award for Best Urban Fusion/Performance,2017
http://www.wikidata.org/entity/Q28735791,Occidentali's Karma,2017-02-10T00:00:00Z,Francesco Gabbani,,,,http://www.wikidata.org/entity/Q84321390,Sanremo Music Festival award,
http://www.wikidata.org/entity/Q28842326,Stay,2017-02-23T00:00:00Z,Zedd,,,,http://www.wikidata.org/entity/Q223703,MTV Video Music Award,
http://www.wikidata.org/entity/Q28842326,Stay,2017-02-23T00:00:00Z,Alessia Cara,,,,http://www.wikidata.org/entity/Q223703,MTV Video Music Award,
http://www.wikidata.org/entity/Q60064262,Rahan takii,2017-02-27T00:00:00Z,Antti Tuisku,,,,http://www.wikidata.org/entity/Q521371,gold record,
http://www.wikidata.org/entity/Q42495628,Q42495628,2017-05-27T00:00:00Z,Hanan Ben Ari,,,,http://www.wikidata.org/entity/Q12410731,ACUM award,
