index,title,title_url,written_by,written_by_url,originally_by,originally_by_url,covers,adaptations
2324,Dime Store Cowgirl,https://secondhandsongs.com/work/190088,"Kacey Musgraves, Luke Laird, Shane McAnally","https://secondhandsongs.com/artist/73467, https://secondhandsongs.com/artist/80203, https://secondhandsongs.com/artist/80204",Kacey Musgraves,https://secondhandsongs.com/artist/73467,2,0
2325,Another's Arms,https://secondhandsongs.com/work/190097,"Guy Berryman, Jonny Buckland, Will Champion, Chris Martin","https://secondhandsongs.com/artist/11467, https://secondhandsongs.com/artist/11468, https://secondhandsongs.com/artist/11469, https://secondhandsongs.com/artist/11470",Coldplay,https://secondhandsongs.com/artist/10590,2,0
2326,Guilty All the Same,https://secondhandsongs.com/work/190158,"Rakim, Rob Bourdon, Brad Delson, Joe Hahn, Mike Shinoda, Dave Farrell, Chester Bennington","https://secondhandsongs.com/artist/660, https://secondhandsongs.com/artist/11823, https://secondhandsongs.com/artist/11824, https://secondhandsongs.com/artist/11825, https://secondhandsongs.com/artist/11826, https://secondhandsongs.com/artist/27703, https://secondhandsongs.com/artist/45921",Linkin Park feat. Rakim,https://secondhandsongs.com/artist/660+11821,2,0
2327,18,https://secondhandsongs.com/work/190177,"Biff, Ash Howes, Michael Clifford [AU], Luke Hemmings, Seton Daunt, Roy Stride","https://secondhandsongs.com/artist/3247, https://secondhandsongs.com/artist/55782, https://secondhandsongs.com/artist/78745, https://secondhandsongs.com/artist/81358, https://secondhandsongs.com/artist/132785, https://secondhandsongs.com/artist/132786",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2328,End Up Here,https://secondhandsongs.com/work/190244,"Michael Clifford [AU], Ashton Irwin, John Feldmann, Alex Gaskarth","https://secondhandsongs.com/artist/78745, https://secondhandsongs.com/artist/78747, https://secondhandsongs.com/artist/103103, https://secondhandsongs.com/artist/111206",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2329,Everything I Didn't Say,https://secondhandsongs.com/work/190245,"Ashton Irwin, Calum Hood, John Feldmann, Nicholas Furlong","https://secondhandsongs.com/artist/78747, https://secondhandsongs.com/artist/81359, https://secondhandsongs.com/artist/103103, https://secondhandsongs.com/artist/132833",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2330,Heartbreak Girl,https://secondhandsongs.com/work/190247,"Lindy Robbins, Steve Robson, Luke Hemmings, Calum Hood","https://secondhandsongs.com/artist/19906, https://secondhandsongs.com/artist/48223, https://secondhandsongs.com/artist/81358, https://secondhandsongs.com/artist/81359",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2331,Kiss Me Kiss Me,https://secondhandsongs.com/work/190254,"Luke Hemmings, Calum Hood, John Feldmann, Alex Gaskarth","https://secondhandsongs.com/artist/81358, https://secondhandsongs.com/artist/81359, https://secondhandsongs.com/artist/103103, https://secondhandsongs.com/artist/111206",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2332,Long Way Home,https://secondhandsongs.com/work/190255,"Michael Clifford [AU], Ashton Irwin, John Feldmann, Alex Gaskarth","https://secondhandsongs.com/artist/78745, https://secondhandsongs.com/artist/78747, https://secondhandsongs.com/artist/103103, https://secondhandsongs.com/artist/111206",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2333,Beside You,https://secondhandsongs.com/work/190261,"Luke Hemmings, Calum Hood, Joel Chapman [AU], Christian Lo Russo","https://secondhandsongs.com/artist/81358, https://secondhandsongs.com/artist/81359, https://secondhandsongs.com/artist/132839, https://secondhandsongs.com/artist/132840",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2334,Mrs All American,https://secondhandsongs.com/work/190285,"Steve Robson, Michael Clifford [AU], Calum Hood, Ross Golan","https://secondhandsongs.com/artist/48223, https://secondhandsongs.com/artist/78745, https://secondhandsongs.com/artist/81359, https://secondhandsongs.com/artist/93867",5 Seconds of Summer,https://secondhandsongs.com/artist/78746,2,0
2335,American Kids,https://secondhandsongs.com/work/190469,"Rodney Clawson, Luke Laird, Shane McAnally","https://secondhandsongs.com/artist/19926, https://secondhandsongs.com/artist/80203, https://secondhandsongs.com/artist/80204",Kenny Chesney,https://secondhandsongs.com/artist/27771,2,0
2336,Show Me Love,https://secondhandsongs.com/work/190542,"Guido Kramer, Jürgen Dohr, Dennis Bierbrodt, Stefan Dabruck, Robin Schulz, Richard Judge","https://secondhandsongs.com/artist/45059, https://secondhandsongs.com/artist/45060, https://secondhandsongs.com/artist/45061, https://secondhandsongs.com/artist/108203, https://secondhandsongs.com/artist/108204, https://secondhandsongs.com/artist/132974",Robin Schulz & J.U.D.G.E.,https://secondhandsongs.com/artist/108204+132974,2,0
2337,We Sink,https://secondhandsongs.com/work/190580,"Iain Cook, Martin Doherty, Lauren Mayberry","https://secondhandsongs.com/artist/114099, https://secondhandsongs.com/artist/114100, https://secondhandsongs.com/artist/114101",Chvrches,https://secondhandsongs.com/artist/77625,2,0
2338,Recover,https://secondhandsongs.com/work/190581,"Iain Cook, Martin Doherty, Lauren Mayberry","https://secondhandsongs.com/artist/114099, https://secondhandsongs.com/artist/114100, https://secondhandsongs.com/artist/114101",Chvrches,https://secondhandsongs.com/artist/77625,2,0
2339,Club Goin' Up on a Tuesday,https://secondhandsongs.com/work/190653,"Young Metro, iLoveMakonnen, Sonny Digital, Ousala Aleem","https://secondhandsongs.com/artist/107421, https://secondhandsongs.com/artist/133069, https://secondhandsongs.com/artist/133070, https://secondhandsongs.com/artist/133071",iLoveMakonnen,https://secondhandsongs.com/artist/133069,2,0
2340,Dear Darlin',https://secondhandsongs.com/work/190654,"Ed Drewett, Jim Eliot, Olly Murs","https://secondhandsongs.com/artist/66346, https://secondhandsongs.com/artist/66642, https://secondhandsongs.com/artist/73162",Olly Murs,https://secondhandsongs.com/artist/73162,2,0
2341,The Great Thaw (Vuelie Reprise),https://secondhandsongs.com/work/190694,Christophe Beck,https://secondhandsongs.com/artist/76926,Soundtrack Orchestra [Frozen],https://secondhandsongs.com/artist/133128,2,0
2342,Wrapped Up,https://secondhandsongs.com/work/190766,"Claude Kelly, Steve Robson, Travie McCoy, Olly Murs","https://secondhandsongs.com/artist/47218, https://secondhandsongs.com/artist/48223, https://secondhandsongs.com/artist/69599, https://secondhandsongs.com/artist/73162",Olly Murs feat. Travie McCoy,https://secondhandsongs.com/artist/69599+73162,2,0
2343,Touch,https://secondhandsongs.com/work/190813,"Alexandra Govere, Sunny Productions, Patrick Jordan-Patrikios, Plested","https://secondhandsongs.com/artist/133217, https://secondhandsongs.com/artist/133218, https://secondhandsongs.com/artist/133219, https://secondhandsongs.com/artist/133220",Little Mix,https://secondhandsongs.com/artist/74933,2,0
2344,Capsize,https://secondhandsongs.com/work/191004,"Babydaddy, Emily Warren, Brett Hite, James Sunderland","https://secondhandsongs.com/artist/31404, https://secondhandsongs.com/artist/98822, https://secondhandsongs.com/artist/133365, https://secondhandsongs.com/artist/133366",Frenship + Emily Warren,https://secondhandsongs.com/artist/98822+133367,2,0
2345,Be Mine,https://secondhandsongs.com/work/191022,"Dorian Lo, César Laurent de Rumel, Gabriella West","https://secondhandsongs.com/artist/133396, https://secondhandsongs.com/artist/133397, https://secondhandsongs.com/artist/133398",Ofenbach,https://secondhandsongs.com/artist/133399,2,0
2346,Body,https://secondhandsongs.com/work/204488,"Marlon McClain, Andrew Fedyk, Joe Depace, Brando [CA]","https://secondhandsongs.com/artist/29422, https://secondhandsongs.com/artist/144944, https://secondhandsongs.com/artist/144945, https://secondhandsongs.com/artist/144946",Loud Luxury feat. Brando,https://secondhandsongs.com/artist/144946+144948,2,0
2347,Just for Tonight,https://secondhandsongs.com/work/204493,"James Bay, Jon Green","https://secondhandsongs.com/artist/88336, https://secondhandsongs.com/artist/134291",James Bay,https://secondhandsongs.com/artist/88336,2,0
2348,Sit Next to Me,https://secondhandsongs.com/work/204515,"Mark Foster, Oligee, Josh Abraham, Johnnie Newman, Lars Stalfors","https://secondhandsongs.com/artist/55959, https://secondhandsongs.com/artist/81758, https://secondhandsongs.com/artist/131484, https://secondhandsongs.com/artist/144977, https://secondhandsongs.com/artist/144978",Foster the People,https://secondhandsongs.com/artist/55960,2,0
2349,Six Feet Under,https://secondhandsongs.com/work/204967,Finneas O'Connell,https://secondhandsongs.com/artist/144984,Billie Eilish,https://secondhandsongs.com/artist/144983,2,0
2350,Bored,https://secondhandsongs.com/work/204968,"Timmy the Terror, Billie Eilish, Finneas O'Connell, Aron Forbes","https://secondhandsongs.com/artist/135606, https://secondhandsongs.com/artist/144983, https://secondhandsongs.com/artist/144984, https://secondhandsongs.com/artist/145348",Billie Eilish,https://secondhandsongs.com/artist/144983,2,0
2351,Gone,https://secondhandsongs.com/work/204996,"Lianne La Havas, Aqualung","https://secondhandsongs.com/artist/71744, https://secondhandsongs.com/artist/100197",Lianne La Havas,https://secondhandsongs.com/artist/71744,2,0
2352,Selfie,https://secondhandsongs.com/work/212167,Andrew Taggart,https://secondhandsongs.com/artist/97917,The Chainsmokers,https://secondhandsongs.com/artist/97918,2,0
2353,Weep Day,https://secondhandsongs.com/work/212611,"John Flansburgh, John Linnell","https://secondhandsongs.com/artist/4562, https://secondhandsongs.com/artist/4563",They Might Be Giants,https://secondhandsongs.com/artist/1339,2,0
